date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,31,7,LzFLjBxtS1w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,LzFLjBxtS1w,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,MdwwAFQDGWY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,NQa2cFOqaUY,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,19,7,Nrsmafi5fYw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,Nrsmafi5fYw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,Nrsmafi5fYw,8,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,105,5,7,Nrsmafi5fYw,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,PiikNxCE5_Q,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,102,1,7,PiikNxCE5_Q,1,1
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,5,7,PiikNxCE5_Q,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,104,4,7,PmD_nggctn4,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,101,2,7,Qm5m02UMGxU,1,0
20260903,UCiLmCoftZHWXSFuQlnEJSsQ,D88Zd_OvaSs,103,27,7,QqB-maYVHLQ,1,0
